,tweet_id,retweet_count,favorite_count,in_reply_to_status_id,in_reply_to_user_id,tweet_timestamp,source,tweets,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,dog_rating_out_of_ten,rating_denominator,dog_name,doggo,floofer,pupper,puppo,dog_category,img_num,dog_breed_prediction,prediction_confidence
0,892420639486877696,7417.0,35161.0,,,,,,,,,,,,,,,,,,,,
1,892177413194625024,5517.0,30423.0,,,,,,,,,,,,,,,,,,,,
2,891815175371796480,3640.0,22874.0,,,,,,,,,,,,,,,,,,,,
3,891689552724799489,7592.0,38443.0,,,,,,,,,,,,,,,,,,,,
4,891327551943041024,8166.0,36692.0,,,,,,,,,,,,,,,,,,,,
5,891087942176911360,2741.0,18498.0,,,,,,,,,,,,,,,,,,,,
6,890971906207338496,1772.0,10756.0,,,,,,,,,,,,,,,,,,,,
7,890729118844600320,16596.0,59191.0,,,,,,,,,,,,,,,,,,,,
8,890609177319665665,3789.0,25464.0,,,,,,,,,,,,,,,,,,,,
9,890240245463175168,6428.0,29072.0,,,,,,,,,,,,,,,,,,,,
10,890006600089468928,6449.0,28033.0,,,,,,,,,,,,,,,,,,,,
11,889880888800096258,4382.0,25486.0,,,,,,,,,,,,,,,,,,,,
12,889665366129029120,8795.0,43776.0,,,,,,,,,,,,,,,,,,,,
13,889638825424826374,3933.0,24607.0,,,,,,,,,,,,,,,,,,,,
14,889531127467266049,1985.0,13866.0,,,,,,,,,,,,,,,,,,,,
15,889278779352338437,4680.0,22922.0,,,,,,,,,,,,,,,,,,,,
16,888917229776945152,3940.0,26591.0,,,,,,,,,,,,,,,,,,,,
17,888804981515575296,3723.0,23329.0,,,,,,,,,,,,,,,,,,,,
18,888554915546542081,3044.0,17993.0,,,,,,,,,,,,,,,,,,,,
19,888078426338406400,3049.0,19893.0,,,,,,,,,,,,,,,,,,,,
20,887705281597243393,4747.0,27637.0,,,,,,,,,,,,,,,,,,,,
21,887517108413886465,10347.0,42299.0,,,,,,,,,,,,,,,,,,,,
22,887473949361045505,15799.0,62626.0,,,,,,,,,,,,,,,,,,,,
23,887343120832229379,9259.0,30715.0,,,,,,,,,,,,,,,,,,,,
24,887101385971384320,5241.0,27983.0,,,,,,,,,,,,,,,,,,,,
25,886983218871902208,6717.0,31707.0,,,,,,,,,,,,,,,,,,,,
26,886736868116754432,2794.0,10901.0,,,,,,,,,,,,,,,,,,,,
27,886680331239161856,3936.0,20530.0,,,,,,,,,,,,,,,,,,,,
28,886366138128449536,2782.0,19270.0,,,,,,,,,,,,,,,,,,,,
29,na,3.0,108.0,,,,,,,,,,,,,,,,,,,,
30,na,96.0,0.0,,,,,,,,,,,,,,,,,,,,
31,na,3284.0,18687.0,,,,,,,,,,,,,,,,,,,,
32,na,17853.0,66100.0,,,,,,,,,,,,,,,,,,,,
33,na,7.0,115.0,,,,,,,,,,,,,,,,,,,,
34,na,10.0,290.0,,,,,,,,,,,,,,,,,,,,
35,na,6008.0,0.0,,,,,,,,,,,,,,,,,,,,
36,na,6223.0,27469.0,,,,,,,,,,,,,,,,,,,,
37,na,1126.0,0.0,,,,,,,,,,,,,,,,,,,,
38,na,5851.0,0.0,,,,,,,,,,,,,,,,,,,,
